526030,00000000000000000028ffca748fdb4ad4e1aa183a20d19da5a12ff09dd7b6c7,SlushPool,24q4kmbciydj3a3n.onion:8333,p7xaixskxoslbn6t.onion:8333,xub4w3w4wwk56xiq.onion:8333,hbnnzteon75un65y.onion:8333,rijr4xt3bbwnixtg.onion:8333,isyfpcunbeud3wpi.onion:8333,xudkoztdfrsuyyou.onion:8333,fno4aakpl6sg6y47.onion:8333,sslnjjhnmwllysv4.onion:8333,k2gdzvryrx7v6ksw.onion:8333
526029,0000000000000000002850f5b7358fa0c0b0d79b3e52f46733891b4605a3124b,ViaBTC,[2a01:4f8:172:1823::2]:8333,138.201.63.36:8333,120.220.14.92:8333,222.239.193.116:8333,[2a01:4f8:13b:131b::2]:8333,94.130.237.36:8333,112.74.58.53:8333,120.79.60.29:8333,34.241.193.10:8333,195.154.171.222:8333
526028,0000000000000000003e9572d424bbe3bd3e749f22431fe0f82622ae40903374,BTC.com,[2a01:4f8:a0:5268::2]:8333,85.10.200.147:8333,84.16.38.218:8333,[2a01:4f8:211:17c6::2]:8333,185.25.60.199:8333,31.41.40.25:8333,[2a01:4f8:171:14c4::2]:8333,212.51.139.57:8333,80.240.129.221:8333,120.79.60.29:8333
526027,0000000000000000000fbce6fb4596c324c4afc6c0de31b75db26d46904cde48,SlushPool,188.42.59.116:8333,94.23.250.222:9444,54.237.232.153:8333,[2a01:4f8:161:6091::2]:8333,84.35.69.14:8333,84.35.69.9:8333,159.203.103.178:8333,52.91.212.29:8333,145.239.5.53:8333,[2620:1e6:100:1605::4]:8333
526026,0000000000000000001b3012e5c8208bd20b0e91e606950750a6be7fd8c25ba5,ViaBTC,112.74.171.220:8333,46.188.44.82:8333,[2001:470:6c80:3::1]:8333,[2001:470:1f08:3cc::2]:8333,[2001:470:6c80:101::1]:8333,18.204.155.105:8333,120.79.60.29:8333,112.74.58.53:8333,5.9.154.226:8333,212.51.139.57:8333
526025,0000000000000000002378d7323aa423630e95aff12392886a5762662e615a72,AntPool,182.92.226.212:8333,39.106.248.226:8333,39.106.56.22:8333,47.93.33.61:8333,88.99.107.117:8333,39.106.55.220:8333,39.106.249.33:8333,39.105.113.70:8333,59.110.241.148:8333,39.106.144.93:8333
526024,000000000000000000313da550fd3859eef6e82a2db71e23fcee1d9155d22010,AntPool,47.91.79.21:8333,78.46.104.241:18333,212.51.139.57:8333,[2a01:4f8:a0:5268::2]:8333,85.10.200.147:8333,91.218.214.90:8333,185.37.216.225:8333,84.217.192.69:8333,[2a02:c205:2009:1570::1]:8333,136.243.57.38:8333
526023,0000000000000000000442f971abc5d72b0b59979c787bb23f844f2ea6d18498,AntPool,24q4kmbciydj3a3n.onion:8333,xub4w3w4wwk56xiq.onion:8333,47.75.2.103:8333,[2001:19f0:ac01:2fb:5400:ff:fe5b:c3ff]:8333,212.85.92.204:28333,185.77.128.69:8333,112.74.44.120:8333,34.227.114.113:8333,175.126.38.51:8333,145.239.3.122:8333
526022,0000000000000000002938da7db3bf6445d09e351263023236beb0ca8fce32a2,BTC.com,[2a01:4f8:211:17c6::2]:8333,148.251.182.199:8333,136.243.146.69:8333,[2a01:4f8:171:14c4::2]:8333,5.9.143.40:8333,78.46.104.241:18333,47.91.79.21:8333,39.105.25.136:8333,31.41.40.25:8333,94.130.47.134:8333
526021,000000000000000000407349964a009f1411694e7574fc36749adeb1eb777f4f,ViaBTC,188.218.127.167:8333,[2a01:4f8:10b:f04::2]:8333,[2a01:4f8:201:936b::2]:8333,147.135.253.226:8333,213.239.210.153:8333,85.229.137.195:8333,212.51.139.57:8333,195.201.81.190:8333,[2a01:4f8:120:300d::2]:8333,94.130.165.34:10731
526020,00000000000000000007f270e642f6cfd7aede383417a15d79b0024f01147b5f,BWPool,p7xaixskxoslbn6t.onion:8333,kxsou2ikl3d4pyhv.onion:8333,xub4w3w4wwk56xiq.onion:8333,k2gdzvryrx7v6ksw.onion:8333,xudkoztdfrsuyyou.onion:8333,xfrqhb5nu4vbf37s.onion:8333,fno4aakpl6sg6y47.onion:8333,u7mpvxotmnqntyn5.onion:8333,vev3n5fxfrtqj6e5.onion:8333,dsrwqwijtsvi4dfk.onion:42434
526019,000000000000000000389a2ea2206e539883655edd64d95c5af141bdfea24ada,AntPool,u7mpvxotmnqntyn5.onion:8333,24q4kmbciydj3a3n.onion:8333,nkf5e6b7pl4jfd4a.onion:8333,4cii7ryno5j3axe4.onion:8333,vev3n5fxfrtqj6e5.onion:8333,p7xaixskxoslbn6t.onion:8333,5ptuzplawb3svsos.onion:8333,sslnjjhnmwllysv4.onion:8333,fno4aakpl6sg6y47.onion:8333,f3nfioh27j2xlfe5.onion:8333
526018,0000000000000000001c3d1c37203befe2bbad655efa5e36b20dc7ecfe7fca12,ViaBTC,46.188.44.82:8333,112.74.171.220:8333,[2001:470:1f08:3cc::2]:8333,[2001:470:6c80:101::1]:8333,5.9.154.226:8333,120.79.60.29:8333,[2001:41d0:8:101d::1]:8333,112.74.58.53:8333,176.31.255.29:8333,84.16.38.218:8333
526017,0000000000000000002a305dfff79eadb9ad6f13549e7132711415a7c0ca1c88,BTC.com,78.46.85.134:8333,185.3.233.32:8333,[2a01:4f8:120:118e::2]:8333,93.170.13.15:8333,39.106.161.222:8333,[2a01:4f8:202:7227::2]:8333,47.93.97.179:8333,88.99.107.117:8333,47.93.25.228:8333,[2a01:4f8:151:2405::2]:8333
526016,0000000000000000002de1e69afe40715490423fc30a790cba5cc916992aab5e,F2Pool,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::3]:8333,5.9.143.40:8333,[2a01:4f8:171:1ef::2]:8333,195.140.215.10:8333,136.243.107.244:8333,[2a01:4f8:212:1826::2]:8333,136.243.57.38:8333,217.160.183.100:8333
526015,00000000000000000007aeeb0a1ea65b8f658ef324a7ef1915bbdfa9f77a3f2c,F2Pool,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::3]:8333,78.46.85.134:8333,[2a00:1768:2001:24::148:218]:8333,46.166.148.218:8333,185.3.233.32:8333,[2a01:4f8:13b:e43::2]:8333,5.9.157.183:8333,93.170.13.15:8333
526014,0000000000000000001db1b592ac6434ca330675683ad440b9a5844e39b495ba,F2Pool,4cii7ryno5j3axe4.onion:8333,ndndword5lpb7eex.onion:8333,xub4w3w4wwk56xiq.onion:8333,tb7qlicrt6rdzxzd.onion:8333,xudkoztdfrsuyyou.onion:8333,u7mpvxotmnqntyn5.onion:8333,fno4aakpl6sg6y47.onion:8333,p7xaixskxoslbn6t.onion:8333,nrrfwdmrm3imuebn.onion:8333,5ptuzplawb3svsos.onion:8333
526013,00000000000000000010dc8c7df66dfbb78a554762c3f591885d52c129cd9d54,AntPool,94.130.102.217:8333,[2a00:1768:2001:24::148:218]:8333,46.166.148.218:8333,95.183.48.71:8333,[2a01:4f9:2a:d54::2]:8333,[2a01:4f8:172:b53::2]:8333,89.38.96.38:8333,[2001:41d0:303:4140::]:8333,144.76.235.242:8333,[2001:41d0:303:2044::]:8333
526012,0000000000000000000bf4f6e27843e485617ad741a7b0a5e94df6c235a63900,SlushPool,198.27.83.210:8333,[2607:5300:60:24d2::42:5443]:8333,162.222.160.77:8333,[2607:5300:60:26f::1]:8333,144.76.136.19:8333,47.90.213.48:8333,93.189.144.181:8333,144.76.108.6:8444,47.254.128.197:8333,[2a01:4f8:192:db::2]:8333
